transaction_id,event_ts,amount,merchant_category,channel,country_risk,prior_chargebacks,velocity_24h,account_age_days,is_weekend,is_fraud,chargeback_loss
1,2025-01-01T00:00:00,219.2,Dining,ATM,2,0,2,160,0,0,0.0
2,2025-01-01T02:00:00,91.86,Dining,Mobile,2,0,1,867,0,0,0.0
3,2025-01-01T04:00:00,216.15,Subscription,Card Present,1,0,3,523,0,0,0.0
4,2025-01-01T06:00:00,49.88,Retail,Online,1,0,4,300,0,0,0.0
5,2025-01-01T08:00:00,156.79,Dining,Card Present,1,0,5,504,0,0,0.0
6,2025-01-01T10:00:00,221.08,Travel,ATM,1,0,2,377,0,0,0.0
7,2025-01-01T12:00:00,152.85,Travel,ATM,1,1,4,515,0,0,0.0
8,2025-01-01T14:00:00,297.91,Subscription,Card Present,2,0,1,410,0,0,0.0
9,2025-01-01T16:00:00,259.24,Electronics,Card Present,2,0,3,413,0,0,0.0
10,2025-01-01T18:00:00,240.45,Electronics,ATM,2,0,1,505,0,0,0.0
11,2025-01-01T20:00:00,75.72,Retail,ATM,1,0,4,665,0,0,0.0
12,2025-01-01T22:00:00,181.25,Retail,Online,2,1,3,601,0,0,0.0
13,2025-01-02T00:00:00,113.11,Cash Advance,Mobile,2,2,5,134,0,0,0.0
14,2025-01-02T02:00:00,39.48,Dining,Mobile,1,0,1,263,0,0,0.0
15,2025-01-02T04:00:00,78.12,Retail,Card Present,1,1,2,683,0,0,0.0
16,2025-01-02T06:00:00,78.48,Subscription,Card Present,3,1,4,383,0,0,0.0
17,2025-01-02T08:00:00,155.34,Cash Advance,Card Present,1,1,4,448,0,0,0.0
18,2025-01-02T10:00:00,216.04,Electronics,Mobile,1,0,2,318,0,0,0.0
19,2025-01-02T12:00:00,223.98,Subscription,Card Present,1,4,2,661,0,0,0.0
20,2025-01-02T14:00:00,108.84,Electronics,Card Present,1,1,3,162,0,0,0.0
21,2025-01-02T16:00:00,375.88,Cash Advance,Card Present,2,0,5,512,0,0,0.0
22,2025-01-02T18:00:00,298.35,Dining,Online,1,0,1,295,0,0,0.0
23,2025-01-02T20:00:00,156.98,Travel,Card Present,1,1,5,417,0,0,0.0
24,2025-01-02T22:00:00,314.82,Dining,Card Present,1,1,4,733,0,0,0.0
25,2025-01-03T00:00:00,227.64,Travel,Online,2,2,2,505,0,0,0.0
26,2025-01-03T02:00:00,264.76,Travel,ATM,2,1,2,278,0,0,0.0
27,2025-01-03T04:00:00,99.74,Retail,Card Present,2,0,3,452,0,0,0.0
28,2025-01-03T06:00:00,165.12,Subscription,Mobile,1,0,5,456,0,0,0.0
29,2025-01-03T08:00:00,189.12,Retail,ATM,3,0,2,523,0,0,0.0
30,2025-01-03T10:00:00,180.15,Dining,Online,3,1,4,245,0,0,0.0
31,2025-01-03T12:00:00,174.29,Dining,Card Present,2,0,2,482,0,0,0.0
32,2025-01-03T14:00:00,112.42,Dining,Card Present,1,0,5,408,0,0,0.0
33,2025-01-03T16:00:00,110.07,Retail,Mobile,3,0,5,210,0,0,0.0
